0001_030	यह है मोटा राजा
5027_097	ईमानदार मनुष्य स्वभावतः स्पष्टभाषी होता है
5028_096	उसे अपनी बातों में नमकमिर्च लगाने की जरुरत नहीं होती
5029_079	यही कारण है कि मुंशी जी के मृदुभाषी मातहतों को
5030_064	उन पर आक्षेप करने का मौका मिल गया
5031_080	इस दावे की जड़ केवल इतनी ही है और कुछ नहीं
5032_068	भानुकुँवरि यहाँ उपस्थित हैं
5033_037	क्या वे कह सकती हैं कि इस आठ वर्ष की मुद्दत में
5034_035	कभी इस गॉँव का जिक्र उनके सामने आया
5035_092	कभी उसके हानिलाभ आयव्यय लेनदेन की चर्चा उनसे की गयी
5036_051	मान लीजिए कि मैं गवर्नमेंट का मुलाजिम हूँ
5037_047	यदि मैं आज दफ्तर में आकर अपनी पत्नी के आयव्यय और
5038_079	अपने टहलुओं के टैक्सों का पचड़ा गाने लगूँ
5039_051	तो शायद मुझे शीघ्र ही अपने पद से पृथक होना पड़े
5040_047	और सम्भव है कुछ दिनों तक बरेली की अतिथिशाला में भी रखा जाऊँ
5041_015	जिस गॉँव से भानुकुँवरि का सरोवार न था
5042_019	उसकी चर्चा उनसे क्यों की जाती
5043_019	इसके बाद बहुत से गवाह पेश हुए
5044_050	जिनमें अधिकांश आसपास के देहातों के जमींदार थे
5045_046	उन्होंने बयान किया कि हमने मुंशी सत्यनारायण
5047_002	अपने नाम से खजाने में रुपया दाखिल करते देखा है
5048_035	इतने में संध्या हो गयी
5049_050	अदालत ने एक सप्ताह में फैसला सुनाने का हुक्म दिया
5050_057	सत्यनाराण को अब अपनी जीत में कोई सन्देह न था
5051_029	वादी पक्ष के गवाह भी उखड़ गये थे और बहस भी सबूत से खाली थी
5052_024	अब इनकी गिनती भी जमींदारों में होगी और सम्भव है
5053_047	यह कुछ दिनों में रईस कहलाने लगेंगे
5054_015	पर किसी न किसी कारण से अब शहर के
5055_092	गणमान्य पुरुषों से आँखें मिलाते शर्माते थे
5056_002	उन्हें देखते ही उनका सिर नीचा हो जाता था
5057_013	वह मन में डरते थे कि वे लोग कहीं
5058_037	इस विषय पर कुछ पूछताछ न कर बैठें
5059_047	वह बाजार में निकलते तो दूकानदारों में
5064_076	निगाह से देखते और उनका बड़ा आदर करते थे
5066_015	तथापि उनका मन कहता था कि सच्ची बात किसी से छिपी नहीं है
5068_079	अब उन्हें लोग स्वार्थी कपटी और दगाबाज समझेंगे
5069_003	दूसरों की बात तो अलग रही स्वयं उनके घरवाले उनकी उपेक्षा करते थे
5070_013	बूढ़ी माता ने तीन दिन से मुँह में पानी नहीं डाला
5071_088	स्त्री बारबार हाथ जोड़ कर कहती थी कि अपने प्यारे बालकों पर दया करो
5072_002	बुरे काम का फल कभी अच्छा नहीं होता
5073_097	नहीं तो पहले मुझी को विष खिला दो
5074_034	जिस दिन फैसला सुनाया जानेवाला था
5075_013	प्रातःकाल एक कुंजड़िन तरकारियॉँ लेकर आयी और मुंशियाइन से बोली
5076_072	बहू जी हमने बाजार में एक बात सुनी है
5077_080	बुरा न मानों तो कहूँ जिसको देखो
5078_034	उसके मुँह से यही बात निकलती है कि
5079_052	लाला बाबू ने जालसाजी से पंडिताइन का कोई हलका ले लिया
5080_050	हमें तो इस पर यकीन नहीं आता
5081_026	लाला बाबू ने न सँभाला होता
5082_015	तो अब तक पंडिताइन का कहीं पता न लगता
5083_002	एक अंगुल जमीन न बचती
5084_080	इन्हीं में एक सरदार था कि सबको सँभाल लिया
5085_076	तो क्या अब उन्हीं के साथ बदी करेंगे अरे बहू
5087_019	यही नेकबदी रह जाती है
5088_057	बुरे का फल बुरा होता है
5089_050	आदमी न देखे पर अल्लाह सब कुछ देखता है
5090_034	बहू जी पर घड़ों पानी पड़ गया
5091_097	जी चाहता था कि धरती फट जाती तो उसमें समा जाती
5092_034	स्त्रियॉँ स्वभावतः लज्जावती होती हैं
5093_046	उनमें आत्माभिमान की मात्रा अधिक होती है
5094_034	निन्दाअपमान उनसे सहन नहीं हो सकता है
5095_076	सिर झुकाये हुए बोलीबुआ मैं इन बातों को क्या जानूँ
5096_037	मैंने तो आज ही तुम्हारे मुँह से सुनी है
5098_026	मुंशी सत्यनारायण अपने कमरे में लेटे हुए कुंजड़िन की बातें सुन रहे थे
5099_098	उसके चले जाने के बाद आकर स्त्री से पूछने लगेयह शैतान की
5100_046	खाला क्या कह रही थी
5103_046	तुम्हारा गुनगान कर रही थी
5104_078	तुम्हारे पीछे देखो किसकिसके मुँह से ये बातें सुननी पड़ती हैं
5106_030	मुंशी जी अपने कमरे में लौट आये
5107_078	स्त्री को कुछ उत्तर नहीं दिया
5108_047	आत्मा लज्जा से परास्त हो गयी
5109_005	जो मनुष्य सदैव सर्वसम्मानित रहा हो
5110_037	जो सदा आत्माभिमान से सिर उठा कर चलता रहा हो
5111_013	जिसकी सुकृति की सारे शहर में चर्चा होती हो
5113_005	लज्जा कुपथ की सबसे बड़ी शत्रु है
5114_034	कुवासनाओं के भ्रम में पड़ कर मुंशी जी ने समझा था
5117_079	बाधाऍं आ खड़ी हुई
5118_026	उनके हटाने में उन्हें बड़े दुस्साहस से काम लेना पड़ा
5119_097	पर यह भी उन्होंने लज्जा से बचने के निमित्त किया
5121_039	इतना यत्न करने पर भी निंदा से न बच सके
5122_005	बाजार का सौदा बेचनेवालियॉँ भी
5123_009	अब अपमान करतीं हैं
5124_008	कुवासनाओं से दबी हुई लज्जाशक्ति इस कड़ी चोट को सहन न कर सकी
5126_026	ऐश्वर्यवान् हो जाऊँगा परन्तु निन्दा से मेरा पीछा न छूटेगा
5128_050	ऐश्वर्य का फल क्या हैमान और मर्यादा
5130_027	चित्त की शक्ति खोकर लोकलज्जा सहकर
5131_015	जनसमुदाय में नीच बन कर और अपने घर में
5132_064	कलह का बीज बोकर यह सम्पत्ति मेरे किस काम आयेगी
5133_078	और यदि वास्तव में कोई न्यायशक्ति हो और
5134_015	वह मुझे इस कुकृत्य का दंड दे
5135_098	तो मेरे लिए सिवा मुख में कालिख लगा कर निकल जाने के और कोई मार्ग न रहेगा
5136_002	सत्यवादी मनुष्य पर कोई विपत्त पड़ती हैं
5137_035	तो लोग उनके साथ सहानुभूति करते हैं
5138_078	दुष्टों की विपत्ति लोगों के लिए व्यंग्य की सामग्री बन जाती है
5139_013	उस अवस्था में ईश्वर अन्यायी ठहराया जाता है
5140_087	मगर दुष्टों की विपत्ति ईश्वर के न्याय को सिद्ध करती है
5141_005	परमात्मन इस दुर्दशा से किसी तरह मेरा उद्धार करो
5142_073	क्यों न जाकर मैं भानुकुँवरि के पैरों पर गिर पड़ूँ और
5143_080	विनय करुँ कि यह मुकदमा उठा लो
5144_035	शोक पहले यह बात मुझे क्यों न सूझी
5145_026	अगर कल तक में उनके पास चला गया होता
5146_005	तो बात बन जाती पर अब क्या हो सकता है
5147_002	आज तो फैसला सुनाया जायगा
5148_078	मुंशी जी देर तक इसी विचार में पड़े रहे
5149_002	पर कुछ निश्चय न कर सके कि क्या करें
5150_097	भानुकुँवरि को भी विश्वास हो गया कि अब गॉँव हाथ से गया
5151_047	बेचारी हाथ मल कर रह गयी
5152_098	रातभर उसे नींद न आयी रहरह कर मुंशी सत्यनारायण पर क्रोध आता था
5153_080	हाय पापी ढोल बजा कर मेरा पचास हजार का माल लिए जाता है
5154_002	और मैं कुछ नहीं कर सकती
5155_029	आजकल के न्याय करने वाले बिलकुल आँख के अँधे हैं
5156_015	जिस बात को सारी दुनिया जानती है
5157_030	उसमें भी उनकी दृष्टि नहीं पहुँचती
5158_005	बस दूसरों को आँखों से देखते हैं
5160_037	न्याय वह है जो दूध का दूध
5161_051	पानी का पानी कर दे
5162_002	यह नहीं कि खुद ही कागजों के धोखे में आ जाए
5163_024	खुद ही पाखंडियों के जाल में फँस जाए
5164_039	इसी से तो ऐसी छली कपटी दगाबाज
5165_024	और दुरात्माओं का साहस बढ़ गया है
5166_015	खैर गॉँव जाता है तो जाए लेकिन सत्यनारायण
5167_002	तुम शहर में कहीं मुँह दिखाने के लायक भी न रहे
5168_050	इस खयाल से भानुकुँवरि को कुछ शान्ति हुई
5169_087	शत्रु की हानि मनुष्य को अपने लाभ से भी अधिक प्रिय होती है मानवस्वभाव ही कुछ ऐसा है
5170_034	तुम हमारा एक गॉँव ले गये
5171_073	नारायण चाहेंगे तो तुम भी इससे सुख न पाओगे
5173_039	तुम्हारे घर में कोई दिया जलाने वाला न रह जायगा
5174_046	फैसले का दिन आ गया
5175_019	आज इजलास में बड़ी भीड़ थी
5176_076	ऐसेऐसे महानुभाव उपस्थित थे जो बगुलों की तरह अफसरों की
5177_057	बधाई और बिदाई के अवसरों ही में नजर आया करते हैं
5178_064	वकीलों और मुख्तारों की पलटन भी जमा थी
5179_047	नियत समय पर जज साहब ने इजलास सुशोभित किया
5180_076	विस्तृत न्याय भवन में सन्नाटा छा गया
5181_080	अहलमद ने संदूक से तजबीज निकाली
5182_026	लोग उत्सुक होकर एकएक कदम और आगे खिसक गए
5183_013	जज ने फैसला सुनायामुद्दई का दावा खारिज
5185_005	यद्यपि फैसला लोगों के अनुमान के अनुसार ही था
5187_080	उदासीन भाव से फैसले पर आलोचनाऍं करते हुए लोग धीरेधीरे कमरे से निकलने लगे
5188_002	एकाएक भानुकुँवरि घूँघट निकाले इजलास पर आ कर खड़ी हो गयी
5190_076	जो बाहर निकल गये थे दौड़ कर आ गये
5191_024	और कौतूहलपूर्वक भानुकुँवरि की तरफ ताकने लगे
5192_097	भानुकुँवरि ने कंपित स्वर में जज से कहासरकार
5193_050	यदि हुक्म दें तो मैं मुंशी जी से कुछ पूछूँ
5194_078	यद्यपि यह बात नियम के विरुद्ध थी
5195_047	तथापि जज ने दयापूर्वक आज्ञा दे दी
5196_047	तब भानुकुँवरि ने सत्यनारायण की तरफ देख कर कहालाला जी
5198_008	गॉँव तुम्हें मुबारक रहे मगर ईमान आदमी का सब कुछ है
5199_035	ईमान से कह दो गॉँव किसका है
5200_029	हजारों आदमी यह प्रश्न सुन कर कौतूहल से सत्यनारायण की तरफ देखने लगे
5201_015	मुंशी जी विचारसागर में डूब गये
5202_097	हृदय में संकल्प और विकल्प में घोर संग्राम होने लगा
5203_015	हजारों मनुष्यों की आँखें उनकी तरफ जमी हुई थीं
5204_005	यथार्थ बात अब किसी से छिपी न थी
5208_034	उसके मिलने का पूरा भय था
5209_037	आपका कहने से काम बिगड़ता था
5210_019	जीतीजितायी बाजी हाथ से निकली जाती थी
5211_064	सर्वोत्कृष्ट काम के लिए समाज से जो इनाम मिल सकता है
5212_050	उसके मिलने की पूरी आशा थी
5213_078	आशा के भय को जीत लिया
5214_066	उन्हें ऐसा प्रतीत हुआ जैसे ईश्वर ने मुझे अपना मुख उज्जवल करने
5215_024	का यह अंतिम अवसर दिया है
5217_002	अब अपनी आत्मा की रक्षा कर सकता हूँ
5218_009	उन्होंने आगे बढ़ कर भानुकुँवरि को प्रणाम किया
5220_003	हजारों मनुष्यों के मुँह से एक गगनस्पर्शी ध्वनि निकलीसत्य की जय
5221_080	जज ने खड़े होकर कहायह कानून का न्याय नहीं ईश्वरीय न्याय है
5222_046	इसे कथा न समझिएगा यह सच्ची घटना है
5223_076	भानुकुँवरि और सत्य नारायण अब भी जीवित हैं
5224_005	मुंशी जी के इस नैतिक साहस पर लोग मुगध हो गए
5225_089	मानवीय न्याय पर ईश्वरीय न्याय ने जो विलक्षण विजय पायी
5226_027	उसकी चर्चा शहर भर में महीनों रही
5227_005	भानुकुँवरि मुंशी जी के घर गयी उन्हें मना कर लायीं
5229_002	कुछ दिनों उपरांत यह गॉँव उन्हीं के नाम हिब्बा कर दिया
5231_037	बाबुल प्यारे सजन सखा रे
5232_034	सुन ओ मेरी मैय्या
5233_073	बोझ नहीं मैं किसी के सर का
5234_073	ना मझधार में नैय्या
5235_051	पतवार बनूँगी लहरों से लडूँगी
5237_030	कल बाबा की ऊँगली को थामे चली थी
5238_013	कल बाबा की लाठी भी बन जाऊंगी
5239_046	अम्मा तेरे घरौंदे की चिड़िया हूँ मैं
5240_019	दाना लेकर ही वापस घर आऊँगी
5241_034	जिसकी फितरत में गैरत समाई नहीं
5242_072	जिसको दौलत से ज्यादा मैं भाई नहीं
5243_078	ऐसे साजन की मुझको जरूरत नहीं
5244_050	ना कहने का सुन लो मुहूर्त यही
5245_050	अकेली चलूँगी किस्मत से मिलूँगी
5246_004	मुझे क्या बेचेगा रुपय्या
5247_005	दिल से दिल के तार तो जुड़े नहीं
5248_013	तो रस्मों पे दौलत ये काहे बहे
5250_027	तो रिश्तों में लालच हम काहे सहे
5251_051	क्या शादी के आगे ज़िन्दगी ही नहीं
5252_015	जो शादी हिसाबों की केवल है बही
5253_037	ऐसी शादी की मुझको जरूरत नहीं
5259_034	कर हर मैदान फ़तेह ओ बंदेया
5262_064	दिखला दे जिंदा है तू
5263_027	बाक़ी है तुझमें हौसला
5264_050	तेरे जूनून के आगे
5266_080	कर डाले तू जो फैसला
5267_093	रूठी तकदीरें तो क्या
5268_013	टूटी शमशीरें तो क्या
5269_009	टूटी शमशीरें से ही हो
5270_009	कर हर मैदान फ़तेह
5274_015	इन गर्दिशों के बादलों पे चढ़ के
5275_051	वक़्त का गिरबान पकड़ के
5276_050	पूछना है जीत का पता
5279_009	आसमां की हद से गुज़र के
5280_037	हो जा तू भीड़ से जुदा
5284_027	लोहा का छर्रा है तू
5285_078	टूटी शमशीरों से ही हो
5290_050	तेरी कोशिशें ही कामयाब होंगी
5291_030	जब तेरी ये जिद्द आग होगी
5292_034	फूँक दे नाउमीदियाँ नाउमीदियाँ
5293_064	तेरे पीछे पीछे रास्ते ये चल के
5294_079	बाहों के निशानों में ढल के
5295_072	ढूँढ लेंगे अपना आशियाँ
5296_019	अपना आशियाँ अपना आशियाँ
5298_050	रख दे जी जान लड़ा के
5300_027	कर हर मैदान हर मैदान
5301_046	हर मैदान हर मैदान
5306_051	कर हर मैदान फ़तेह रे बंदेया
5309_097	तुम खूब लगा लो नारा
5310_050	ये शुभ दिन है हम सब का
5311_005	लहरा लो तिरंगा प्यारा
5312_080	पर मत भूलो सीमा पर
5313_026	वीरों ने है प्राण गँवाए
5314_047	कुछ याद उन्हें भी कर लो
5315_009	जो लौट के घर न आये
5316_064	ऐ मेरे वतन के लोगों
5317_051	ज़रा आँख में भर लो पानी
5321_026	खतरे में पड़ी आज़ादी
5322_072	जब तक थी साँस लड़े वो
5323_046	फिर अपनी लाश बिछा दी
5324_027	संगीन पे धर कर माथा
5325_064	सो गये अमर बलिदानी
5329_013	वो खेल रहे थे होली
5330_073	जब हम बैठे थे घरों में
5331_073	वो झेल रहे थे गोली
5332_064	थे धन्य जवान वो आपने
5333_079	थी धन्य वो उनकी जवानी
5336_009	कोई सिख कोई जाट मराठा
5339_018	हर वीर था भारतवासी
5340_005	जो खून गिरा पवर्अत पर
5341_050	वो खून था हिंदुस्तानी
5345_009	फिर भी बन्दूक उठाके
5346_067	दसदस को एक ने मारा
5347_015	फिर गिर गये होश गँवा के
5348_015	जब अन्तसमय आया तो
5349_046	कह गये के अब मरते हैं
5350_047	खुश रहना देश के प्यारों
5351_015	अब हम तो सफ़र करते हैं
5352_005	क्या लोग थे वो दीवाने
5353_080	क्या लोग थे वो अभिमानी
5356_015	तुम भूल न जाओ उनको
5357_034	इस लिये कही ये कहानी
5358_027	जो शहीद हुए हैं उनकी
5359_034	ज़रा याद करो क़ुरबानी
5369_068	मिट्टी की है जो खुशबू
5371_097	तू चाहे कही जाए
5372_073	तू लौट के आएगा
5373_050	नई नई राहों में
5374_027	दबी दबी आहों में
5375_013	खोए खोए दिल से तेरे
5380_078	ये वो बंधन है जो कभी टूट नही सकता
5382_027	है ये कह रही
5383_072	सब तो पा लिया
5384_051	अब है क्या कमीं
5386_072	पर दूर तू है अपने घर से
5387_024	आ लौट चल तू अब दीवाने
5388_013	जहा कोई तो तुझे अपना माने
5389_013	आवाज दे तुझे बुलाने
5395_026	ये पल हैं वो ही
5399_093	तू ना पूछ रास्तें में काहे
5400_005	आए हैं इस तरह दोराहे
5401_019	तू ही तो है राह जो सुझाए
5402_015	तू ही तो है अब जो ये बताए
5403_009	जाए तो किस दिशा में जाए वो ही देस
5404_015	ये जो देस है तेरा
5408_024	रुक जाना नहीं तू कहीं हार के
5409_034	कांटों पे चल के मिलेंगे साये बहार के
5410_080	ओ राही ओ राही
5412_005	लोगों को उनका सब कुछ देके
5413_034	तू तो चला था सपने ही लेके
5414_024	कोई नहीं तो तेरे अपने हैं सपने ये प्यार के
5416_030	जब कभी ऐसे कोई मस्ताना
5417_002	निकले है अपनी धुन में दीवाना
5418_005	शाम सुहानी बन जाते हैं दिन इंतजार के
5420_093	यूँ ही चला चल दिल के सहारे
5421_037	करती है मंजिल तुझ को इशारे
5422_092	देख कहीं कोई रोक नहीं ले तुझको पुकार के
5423_068	टूटा टूटा एक परिंदा ऐसे टूटा
5425_014	लूटा लूटा किसने उसको ऐसे लूटा
5431_015	गिरता हुआ वो आसमां से
5433_039	ख्वाबों में फिर भी
5435_050	वो कहता रहा मगर
5436_005	के अल्लाह के बन्दे हंस दे
5438_079	अल्लाह के बन्दे हंसदे
5444_024	खो के अपने पर ही तो
5445_005	उसने था उड़ना सिखा
5449_024	गम को अपने साथ में ले ले
5450_005	दर्द भी तेरे काम आएगा
5462_078	टुकड़ेटुकड़े हो गया था
5463_078	हर सपना जब वो टूटा
5465_030	अल्लाह की मर्ज़ी का मंज़र पायेगा
5475_067	के फिर जुड़ ना पाया
5477_037	के फिर उड़ ना पाया
5479_009	आकर गिरा ज़मीन पर
5487_072	अल्लाह के बन्दे हंस दे
5498_078	जो भी हो कल फिर आएगा
5499_019	कुछ पाने की हो आस आस
5500_030	कुछ अरमान हो जो ख़ास ख़ास
5502_046	हर कोशिश में हो वार वार
5505_068	तूफानों को चीर के
5507_076	आशाएं खिले दिल की
5508_072	उम्मीदें हसें दिल की
5509_050	अब मुश्किल नहीं कुछ भी
5510_097	उड़ जाएं लेके ख़ुशी
5511_002	अपने संग तुझको वहां
5512_019	जन्नत से मुलाकात हो
5515_013	गुजरे ऐसी हर रात रात
5516_015	हो ख्वाहिशों से बात बात
5518_024	लेकर सूरज से आग आग
5519_015	गाये जा अपना राग राग
5521_078	कुछ ऐसा करके दिखा
5522_046	खुद खुश हो जाए खुदा
5524_027	जुम्मन शेख और अलगू चौधरी में गाढ़ी मित्रता थी
5526_002	कुछ लेनदेन में भी साझा था
5527_034	एक को दूसरे पर अटल विश्वास था
5528_015	जुम्मन जब हज करने गये थे
5529_057	तब अपना घर अलगू को सौंप गये थे
5530_078	और अलगू जब कभी बाहर जाते
5531_093	तो जुम्मन पर अपना घर छोड़ देते थे
5532_086	उनमें न खानपान का व्यवहार था न धर्म का नाता
5533_015	केवल विचार मिलते थे
5534_064	मित्रता का मूलमंत्र भी यही है
5535_015	इस मित्रता का जन्म उसी समय हुआ
5536_034	जब दोनों मित्र बालक ही थे
5537_089	और जुम्मन के पूज्य पिता जुमराती उन्हें शिक्षा प्रदान करते थे
5538_013	अलगू ने गुरु जी की बहुत सेवा की थी
5539_009	खूब रकाबियाँ माँजी खूब प्याले धोये
5540_024	उनका हुक्का एक क्षण के लिए भी विश्राम न लेने पाता था
5541_080	क्योंकि प्रत्येक चिलम अलगू को आध घंटे तक
5542_039	किताबों से अलग कर देती थी
5543_002	अलगू के पिता पुराने विचारों के मनुष्य थे
5545_072	वह कहते थे कि विद्या पढ़ने से नहीं आती
5546_050	जो कुछ होता है गुरु के आशीर्वाद से
5547_002	बस गुरु जी की कृपादृष्टि चाहिए अतएव यदि
5548_076	अलगू पर जुमराती शेख के आशीर्वाद अथवा सत्संग का कुछ फल न हुआ
5549_037	तो यह मानकर संतोष कर लेगा कि विद्योपार्जन में
5550_078	उसने यथाशक्ति कोई बात उठा नहीं रखी
5551_047	विद्या उसके भाग्य ही में न थी तो कैसे आती
5552_034	मगर जुमराती शेख स्वयं आशीर्वाद के कायल न थे
5553_050	उन्हें अपने सोटे पर अधिक भरोसा था
5554_014	और उसी सोटे के
5557_005	उनके लिखे हुए रेहननामे या बैनामे पर कचहरी का
5560_092	चपरासीसब उनकी कृपा की आकांक्षा रखते थे
5561_015	अतएव अलगू का मान उनके धन के कारण था
5563_013	जुम्मन शेख की एक बूढ़ी खाला मौसी थी
5564_051	उसके पास कुछ थोड़ीसी मिलकियत थी
5565_005	परन्तु उसके निकट संबंधियों में कोई न था
5567_057	अपने नाम लिखवा ली थी
5568_037	जब तक दानपत्र की रजिस्ट्री न हुई थी
5569_093	तब तक खालाजान का खूब आदरसत्कार किया गया
5570_050	उन्हें खूब स्वादिष्ट पदार्थ खिलाये गये
5571_026	हलवेपुलाव की वर्षासी की गयी
5572_080	पर रजिस्ट्री की मोहर ने इन खातिरदारियों
5573_097	पर भी मानो मुहर लगा दी
5574_078	जुम्मन की पत्नी करीमन रोटियों के साथ
5575_080	कड़वी बातों के कुछ तेज
5576_097	तीखे सालन भी देने लगी जुम्मन शेख भी निठुर हो गये
5577_088	अब बेचारी खालाजान को प्रायः नित्य ही ऐसी बातें सुननी पड़ती थीं
5579_015	दोतीन बीघे ऊसर क्या दे दिया
5580_046	मानो मोल ले लिया है
5581_080	बघारी दाल के बिना रोटियाँ नहीं उतरतीं
5582_093	जितना रुपया इसके पेट में झोंक चुके
5584_068	कुछ दिन खालाजान ने सुना और सहा
5585_047	पर जब न सहा गया तब जुम्मन से शिकायत की
5586_009	जुम्मन ने स्थानीय कर्मचारीगृहस्वामीके
5587_097	प्रबंध में दखल देना उचित न समझा
5589_024	अंत में एक दिन खाला ने जुम्मन से कहाबेटा
5590_086	तुम्हारे साथ मेरा निर्वाह न होगा तुम मुझे रुपये दे दिया करो
5591_092	मैं अपना पकाखा लूँगी
5592_034	जुम्मन ने धृष्टता के साथ उत्तर दियारुपये क्या यहाँ फलते हैं
5594_092	जुम्मन ने गम्भीर स्वर से जवाब दियातो कोई यह थोड़े ही समझा था
5595_024	कि तुम मौत से लड़कर आयी हो
5597_078	उन्होंने पंचायत करने की धमकी दी
5599_005	जाल की तरफ जाते देख कर मन ही मन हँसता है
5600_046	वह बोलेहाँ जरूर पंचायत करो फैसला हो जाय
5601_027	मुझे भी यह रातदिन की खटखट पसंद नहीं
5602_024	पंचायत में किसकी जीत होगी
5603_014	इस विषय में जुम्मन को कुछ भी संदेह न था
5604_039	आसपास के गाँवों में ऐसा कौन था
5605_027	जो उसके अनुग्रहों का ऋणी न हो
5606_019	ऐसा कौन था जो उसको शत्रु बनाने का साहस कर सके
5607_076	किसमें इतना बल था जो उसका सामना कर सके
5608_002	आसमान के फरिश्ते तो पंचायत करने आवेंगे नहीं
5609_026	इसके बाद कई दिन तक बूढ़ी खाला हाथ में
5611_073	कमर झुक कर कमान हो गयी थी
5612_026	एकएक पग चलना दूभर था
5613_046	मगर बात आ पड़ी थी
5614_009	उसका निर्णय करना जरूरी था
5615_046	बिरला ही कोई भला आदमी होगा
5616_009	जिसके सामने बुढ़िया ने दुःख के आँसू न बहाये हां
5617_076	किसी ने तो यों ही ऊपरी मन से हूँहाँ करके टाल दिया
5618_097	और किसी ने इस अन्याय पर जमाने को गालियाँ दीं
5619_027	कहाकब्र में पाँव लटके हुए हैं
5620_078	आज मरे कल दूसरा दिन
5621_009	पर हवस नहीं मानती
5622_013	अब तुम्हें क्या चाहिए
5623_002	रोटी खाओ और अल्लाह का नाम लो
5624_072	तुम्हें अब खेतीबारी से क्या काम है
5625_051	कुछ ऐसे सज्जन भी थे
5626_005	जिन्हें हास्यरस के रसास्वादन का अच्छा अवसर मिला
5627_047	झुकी हुई कमर पोपला मुँह
5630_046	ऐसे न्यायप्रिय दयालु दीनवत्सल पुरुष बहुत कम थे
5631_050	जिन्होंने उस अबला के दुखड़े को
5633_019	चारों ओर से घूमघाम कर बेचारी अलगू चौधरी के पास आयी
5634_080	लाठी पटक दी और दम ले कर बोलीबेटा
5635_005	तुम भी दम भर के लिए मेरी पंचायत में चले आना
5636_015	अलगूमुझे बुला कर क्या करोगी
5637_092	कई गाँव के आदमी तो आवेंगे ही
5638_024	खालाअपनी विपद तो सबके आगे रो आयी
5639_005	अब आनेनआने का अख्तियार उनको है
5640_079	अलगूयों आने को आ जाऊँगा
5641_037	मगर पंचायत में मुँह न खोलूँगा
5643_009	अलगूअब इसका क्या जवाब दूँ
5644_080	अपनी खुशी जुम्मन मेरा पुराना मित्र है
5645_047	उससे बिगाड़ नहीं कर सकता
5646_027	खालाबेटा क्या बिगाड़ के डर से ईमान की बात न कहोगे
5648_015	तो उसे खबर नहीं होती
5649_026	परन्तु ललकार सुन कर वह सचेत हो जाता है
5650_002	फिर उसे कोई जीत नहीं सकता
5651_027	अलगू इस सवाल का कोई उत्तर न दे सका
5652_046	पर उसके हृदय में ये शब्द गूँज रहे थेक्या
5653_013	बिगाड़ के डर से ईमान की बात न कहोगे
5654_027	संध्या समय एक पेड़ के नीचे पंचायत बैठी
5655_046	शेख जुम्मन ने पहले से ही फर्श बिछा रखा था
5657_037	हुक्केतम्बाकू आदि का प्रबन्ध भी किया था
5658_076	हाँ वह स्वयं अलबत्ता अलगू चौधरी के साथ जरा दूर पर बैठे हुए थे
5659_009	जब पंचायत में कोई आ जाता था
5660_068	तब दबे हुए सलाम से उसका स्वागत करते थे
5661_068	जब सूर्य अस्त हो गया और चिड़ियों की
5662_078	कलरवयुक्त पंचायत पेड़ों पर बैठी
5663_004	तब यहाँ भी पंचायत शुरू हुई
5664_097	फर्श की एकएक अंगुल जमीन भर गयी
5666_097	निमंत्रित महाशयों में से केवल वे ही लोग पधारे थे
5667_068	जिन्हें जुम्मन से अपनी कुछ कसर निकालनी थी
5668_009	एक कोने में आग सुलग रही थी
5670_009	यह निर्णय करना असम्भव था कि
5671_088	सुलगते हुए उपलों से अधिक धुआँ निकलता था या चिलम के दमों से
5673_015	कोई आपस में गालीगलौज करते और कोई रोते थे
5675_009	गाँव के कुत्ते इस जमाव को भोज समझ कर झुंड के झुंड जमा हो गये थे
5677_080	पंचो आज तीन साल हुए
5678_089	मैंने अपनी सारी जायदाद अपने भानजे जुम्मन के नाम लिख दी थी
5679_092	इसे आप लोग जानते ही होंगे
5680_080	जुम्मन ने मुझे ताहयात रोटीकपड़ा देना कबूल किया
5682_076	पर अब रातदिन का रोना नहीं सहा जाता
5683_047	मुझे न पेट की रोटी मिलती है न तन का कपड़ा
5685_018	कचहरीदरबार नहीं कर सकती
5686_093	तुम्हारे सिवा और किसको अपना दुःख सुनाऊँ
5689_051	तो मेरे मुँह पर थप्पड़ मारो
5690_026	जुम्मन में बुराई देखो तो उसे समझाओ
5691_072	क्यों एक बेकस की आह लेता है
5693_015	रामधन मिश्र जिनके कई असामियों को
5694_037	जुम्मन ने अपने गाँव में बसा लिया था
5695_034	बोलेजुम्मन मियाँ किसे पंच बदते हो
5696_026	अभी से इसका निपटारा कर लो
5698_019	जुम्मन को इस समय सदस्यों में विशेषकर वे ही लोग दीख पड़े
5699_046	जिनसे किसी न किसी कारण उनका वैमनस्य था
5700_024	जुम्मन बोलेपंचों का हुक्म अल्लाह का हुक्म है
5701_080	खालाजान जिसे चाहें उसे बदें मुझे कोई उज्र नहीं
